Run,Method,MSE
0,KIV-M,4.360329627990723
0,KIV-MN,4.26318883895874
0,MEKIV,4.386396408081055
0,KIV-Oracle,3.833928823471069
1,KIV-M,4.470216274261475
1,KIV-MN,4.2503814697265625
1,MEKIV,4.366207599639893
1,KIV-Oracle,3.750702142715454
2,KIV-M,4.447121620178223
2,KIV-MN,4.262443542480469
2,MEKIV,4.36122989654541
2,KIV-Oracle,3.7664778232574463
3,KIV-M,4.405806541442871
3,KIV-MN,4.244470596313477
3,MEKIV,4.387974739074707
3,KIV-Oracle,3.959157705307007
4,KIV-M,4.481166839599609
4,KIV-MN,4.307933330535889
4,MEKIV,4.388458251953125
4,KIV-Oracle,3.6462924480438232
5,KIV-M,4.37738037109375
5,KIV-MN,4.266698360443115
5,MEKIV,4.426675319671631
5,KIV-Oracle,3.8705477714538574
6,KIV-M,4.465195655822754
6,KIV-MN,4.380929470062256
6,MEKIV,4.399688720703125
6,KIV-Oracle,3.738478660583496
7,KIV-M,4.471836090087891
7,KIV-MN,4.251593112945557
7,MEKIV,4.432750225067139
7,KIV-Oracle,3.811055421829224
8,KIV-M,4.476798534393311
8,KIV-MN,4.25179386138916
8,MEKIV,4.387033462524414
8,KIV-Oracle,3.936444997787476
9,KIV-M,4.422760009765625
9,KIV-MN,4.268335342407227
9,MEKIV,4.427567005157471
9,KIV-Oracle,3.655095338821411
10,KIV-M,4.518340587615967
10,KIV-MN,4.287899017333984
10,MEKIV,4.409451961517334
10,KIV-Oracle,3.747652769088745
11,KIV-M,4.504270076751709
11,KIV-MN,4.296576976776123
11,MEKIV,4.418216705322266
11,KIV-Oracle,3.885075092315674
12,KIV-M,4.329606056213379
12,KIV-MN,4.273317813873291
12,MEKIV,4.473354816436768
12,KIV-Oracle,3.784942150115967
13,KIV-M,4.498733043670654
13,KIV-MN,4.331817626953125
13,MEKIV,4.440978050231934
13,KIV-Oracle,3.828350782394409
14,KIV-M,4.480966091156006
14,KIV-MN,4.2601752281188965
14,MEKIV,4.372196197509766
14,KIV-Oracle,3.8822760581970215
15,KIV-M,4.43063497543335
15,KIV-MN,4.309854507446289
15,MEKIV,4.404123783111572
15,KIV-Oracle,3.824537515640259
16,KIV-M,4.456999778747559
16,KIV-MN,4.281800270080566
16,MEKIV,4.415194988250732
16,KIV-Oracle,3.704414367675781
17,KIV-M,4.409662246704102
17,KIV-MN,4.182421684265137
17,MEKIV,4.250678062438965
17,KIV-Oracle,4.02060079574585
18,KIV-M,4.474618911743164
18,KIV-MN,4.290740489959717
18,MEKIV,4.436882495880127
18,KIV-Oracle,3.856009721755981
19,KIV-M,4.461616039276123
19,KIV-MN,4.25687313079834
19,MEKIV,4.373656749725342
19,KIV-Oracle,3.896618127822876
