Run,Method,MSE
0,KIV-M,4.383072853088379
0,KIV-MN,4.367189884185791
0,MEKIV,4.354657173156738
0,KIV-Oracle,3.623747110366821
1,KIV-M,4.567912578582764
1,KIV-MN,4.392063617706299
1,MEKIV,4.415931701660156
1,KIV-Oracle,3.677462339401245
2,KIV-M,4.462437152862549
2,KIV-MN,4.366495609283447
2,MEKIV,4.457882404327393
2,KIV-Oracle,3.8225576877594
3,KIV-M,4.48651933670044
3,KIV-MN,4.355348110198975
3,MEKIV,4.447061538696289
3,KIV-Oracle,3.795757532119751
4,KIV-M,4.515176773071289
4,KIV-MN,4.390880584716797
4,MEKIV,4.46035099029541
4,KIV-Oracle,3.636767864227295
5,KIV-M,4.463003635406494
5,KIV-MN,4.378598690032959
5,MEKIV,4.451046466827393
5,KIV-Oracle,3.789189100265503
6,KIV-M,4.498768329620361
6,KIV-MN,4.436777591705322
6,MEKIV,4.505608558654785
6,KIV-Oracle,3.757646560668945
7,KIV-M,4.540595054626465
7,KIV-MN,4.303375720977783
7,MEKIV,4.409490585327148
7,KIV-Oracle,3.728599548339844
8,KIV-M,4.482008934020996
8,KIV-MN,4.349941253662109
8,MEKIV,4.431356906890869
8,KIV-Oracle,3.871349334716797
9,KIV-M,4.432418346405029
9,KIV-MN,4.345527648925781
9,MEKIV,4.443020343780518
9,KIV-Oracle,3.697476148605346
10,KIV-M,4.49528169631958
10,KIV-MN,4.373929023742676
10,MEKIV,4.45623254776001
10,KIV-Oracle,4.161241054534912
11,KIV-M,4.532602787017822
11,KIV-MN,4.404204368591309
11,MEKIV,4.481771469116211
11,KIV-Oracle,3.828827381134033
12,KIV-M,4.435067176818848
12,KIV-MN,4.357092380523682
12,MEKIV,4.558251857757568
12,KIV-Oracle,3.941239595413208
13,KIV-M,4.552428722381592
13,KIV-MN,4.425978660583496
13,MEKIV,4.485990047454834
13,KIV-Oracle,3.7530696392059326
14,KIV-M,4.574315547943115
14,KIV-MN,4.393041133880615
14,MEKIV,4.421225070953369
14,KIV-Oracle,3.8457555770874015
15,KIV-M,4.462264537811279
15,KIV-MN,4.423337936401367
15,MEKIV,4.453621864318848
15,KIV-Oracle,3.875522136688232
16,KIV-M,4.470528602600098
16,KIV-MN,4.353282928466797
16,MEKIV,4.4799323081970215
16,KIV-Oracle,3.74673056602478
17,KIV-M,4.41423225402832
17,KIV-MN,4.293795585632324
17,MEKIV,4.409801959991455
17,KIV-Oracle,3.8291494846344
18,KIV-M,4.5209245681762695
18,KIV-MN,4.389492511749268
18,MEKIV,4.418904781341553
18,KIV-Oracle,3.922412872314453
19,KIV-M,4.4908447265625
19,KIV-MN,4.405102729797363
19,MEKIV,4.470590591430664
19,KIV-Oracle,3.870055675506592
