Run,Method,MSE
0,Adaptive,3.809035301208496
0,Bochner,3.918663024902344
0,OOS Bochner,3.1173598766326904
0,DFIV,3.7468085289001465
0,OOS Bochner (2LMP),3.606477117538452
0,Bochner (2LMP),3.828479480743408
1,Adaptive,3.719024896621704
1,Bochner,3.517838478088379
1,OOS Bochner,2.8405463695526123
1,DFIV,3.7537550926208496
1,OOS Bochner (2LMP),3.733171510696411
1,Bochner (2LMP),3.800120449066162
2,Adaptive,3.658559083938599
2,Bochner,3.4247140884399414
2,OOS Bochner,2.933537483215332
2,DFIV,3.7003002166748047
2,OOS Bochner (2LMP),3.627586460113525
2,Bochner (2LMP),3.639050922393799
3,Adaptive,3.934605360031128
3,Bochner,3.1559879779815674
3,OOS Bochner,2.79928994178772
3,DFIV,3.659010648727417
3,OOS Bochner (2LMP),3.5020054817199707
3,Bochner (2LMP),3.5880692958831774
4,Adaptive,4.000843048095703
4,Bochner,4.130512714385986
4,OOS Bochner,2.8613927364349365
4,DFIV,3.69787859916687
4,OOS Bochner (2LMP),3.5383411026000977
4,Bochner (2LMP),3.9004213333129883
5,Adaptive,3.807547092437744
5,Bochner,3.558837890625
5,OOS Bochner,2.768503904342652
5,DFIV,3.668633699417114
5,OOS Bochner (2LMP),3.5208600997924805
5,Bochner (2LMP),3.49196457862854
6,Adaptive,3.7130184173583984
6,Bochner,3.406583070755005
6,OOS Bochner,3.014385938644409
6,DFIV,3.705942153930664
6,OOS Bochner (2LMP),3.8038774013519287
6,Bochner (2LMP),4.049490070343018
7,Adaptive,3.704444408416748
7,Bochner,3.21104383468628
7,OOS Bochner,2.926725387573242
7,DFIV,3.670331239700317
7,OOS Bochner (2LMP),3.635263671875
7,Bochner (2LMP),3.58181414604187
8,Adaptive,3.97438383102417
8,Bochner,3.2818260192871094
8,OOS Bochner,2.9003777503967285
8,DFIV,3.647698640823364
8,OOS Bochner (2LMP),3.423828001022339
8,Bochner (2LMP),3.484715003967285
9,Adaptive,3.67949891090393
9,Bochner,3.040710687637329
9,OOS Bochner,2.892170190811157
9,DFIV,3.746514081954956
9,OOS Bochner (2LMP),3.5376484394073486
9,Bochner (2LMP),3.5770180797576895
10,Adaptive,3.802849054336548
10,Bochner,3.899851799011232
10,OOS Bochner,2.756807804107666
10,DFIV,3.831036806106568
11,Adaptive,3.7523560523986816
11,Bochner,3.318626642227173
11,OOS Bochner,2.872732400894165
11,DFIV,3.7812442779541016
12,Adaptive,3.939823865890503
12,Bochner,3.4475173950195312
12,OOS Bochner,3.0295610427856445
12,DFIV,3.760717391967773
13,Adaptive,3.768127918243408
13,Bochner,3.545139789581299
13,OOS Bochner,2.8679845333099365
13,DFIV,3.7482750415802
14,Adaptive,3.889077663421631
14,Bochner,4.175290584564209
14,OOS Bochner,3.0338711738586426
14,DFIV,3.725910425186157
15,Adaptive,3.983339071273804
15,Bochner,3.7308828830718994
15,OOS Bochner,2.9699714183807373
15,DFIV,3.737486095428467
16,Adaptive,3.801314353942871
16,Bochner,3.411409378051758
16,OOS Bochner,3.03959059715271
16,DFIV,3.7479968070983887
17,Adaptive,3.7462899684906006
17,Bochner,3.6335740089416495
17,OOS Bochner,2.964818000793457
17,DFIV,3.637173395156861
18,Adaptive,3.8753414154052734
18,Bochner,3.445937395095825
18,OOS Bochner,3.024324417114258
18,DFIV,3.742929220199585
19,Adaptive,3.7570300102233887
19,Bochner,3.3671674728393555
19,OOS Bochner,3.0482399463653564
19,DFIV,3.7133559894561768
