Run,Method,MSE
0,KIV-M,4.380220890045166
0,KIV-MN,4.294981002807617
0,MEKIV,4.356672286987305
0,KIV-Oracle,3.707481384277344
1,KIV-M,4.504640579223633
1,KIV-MN,4.232972621917725
1,MEKIV,4.411008358001709
1,KIV-Oracle,3.785659313201904
2,KIV-M,4.562360763549805
2,KIV-MN,4.263979434967041
2,MEKIV,4.34503698348999
2,KIV-Oracle,3.6412570476531982
3,KIV-M,4.402217388153076
3,KIV-MN,4.221557140350342
3,MEKIV,4.369085788726807
3,KIV-Oracle,3.905971765518189
4,KIV-M,4.4844512939453125
4,KIV-MN,4.253281116485596
4,MEKIV,4.376658439636231
4,KIV-Oracle,3.7856273651123047
5,KIV-M,4.427273273468018
5,KIV-MN,4.277537345886231
5,MEKIV,4.404376029968262
5,KIV-Oracle,3.80851411819458
6,KIV-M,4.479780197143555
6,KIV-MN,4.276645183563232
6,MEKIV,4.408222675323486
6,KIV-Oracle,3.899331331253052
7,KIV-M,4.416046619415283
7,KIV-MN,4.213742256164551
7,MEKIV,4.374756813049316
7,KIV-Oracle,3.7077958583831774
8,KIV-M,4.436691761016846
8,KIV-MN,4.227451801300049
8,MEKIV,4.399823188781738
8,KIV-Oracle,3.7830095291137695
9,KIV-M,4.389181137084961
9,KIV-MN,4.259466648101807
9,MEKIV,4.371379375457764
9,KIV-Oracle,3.679938316345215
10,KIV-M,4.4123406410217285
10,KIV-MN,4.300450325012207
10,MEKIV,4.46686601638794
10,KIV-Oracle,3.7630374431610094
11,KIV-M,4.489804744720459
11,KIV-MN,4.263487339019775
11,MEKIV,4.376947402954102
11,KIV-Oracle,3.916837930679321
12,KIV-M,4.376784801483154
12,KIV-MN,4.279314041137695
12,MEKIV,4.434228420257568
12,KIV-Oracle,3.7583396434783936
13,KIV-M,4.574293613433838
13,KIV-MN,4.29868221282959
13,MEKIV,4.431775093078613
13,KIV-Oracle,3.736140966415405
14,KIV-M,4.477933883666992
14,KIV-MN,4.345633029937744
14,MEKIV,4.373414039611816
14,KIV-Oracle,4.129514217376709
15,KIV-M,4.4236555099487305
15,KIV-MN,4.242965698242188
15,MEKIV,4.370363235473633
15,KIV-Oracle,3.872211456298828
16,KIV-M,4.468847751617432
16,KIV-MN,4.303713321685791
16,MEKIV,4.412186622619629
16,KIV-Oracle,3.798540353775024
17,KIV-M,4.372661113739014
17,KIV-MN,4.25205659866333
17,MEKIV,4.293253421783447
17,KIV-Oracle,3.674874067306519
18,KIV-M,4.477141380310059
18,KIV-MN,4.298129558563232
18,MEKIV,4.4261884689331055
18,KIV-Oracle,3.78715443611145
19,KIV-M,4.520367622375488
19,KIV-MN,4.2418293952941895
19,MEKIV,4.439716339111328
19,KIV-Oracle,3.8236422538757324
