Run,Method,MSE
0,Adaptive,3.9149670600891113
0,Bochner,3.613038063049317
0,OOS Bochner,3.053271770477295
0,DFIV,3.714062595367432
0,Bochner (2LMP),4.135009956359863
0,OOS Bochner (2LMP),3.780978174209596
1,Adaptive,3.685885429382324
1,Bochner,3.567368268966675
1,OOS Bochner,2.8266701698303223
1,DFIV,3.7236312866210938
1,Bochner (2LMP),3.6632943153381348
1,OOS Bochner (2LMP),3.7240365648269657
2,Adaptive,3.794634342193604
2,Bochner,3.489908218383789
2,OOS Bochner,2.8926749229431152
2,DFIV,3.658509969711304
2,Bochner (2LMP),3.630027952194214
2,OOS Bochner (2LMP),3.4810126304626474
3,Adaptive,3.846255302429199
3,Bochner,3.259382724761963
3,OOS Bochner,2.87631630897522
3,DFIV,3.7667274475097656
3,Bochner (2LMP),3.718328952789306
3,OOS Bochner (2LMP),3.472987990379335
4,Adaptive,3.66310977935791
4,Bochner,3.927896738052368
4,OOS Bochner,2.853354930877685
4,DFIV,3.7718665599823
4,Bochner (2LMP),4.063109111785889
4,OOS Bochner (2LMP),3.6049895668029793
5,Adaptive,3.740363836288452
5,Bochner,3.716311454772949
5,OOS Bochner,2.832702875137329
5,DFIV,3.5745983123779297
5,Bochner (2LMP),3.609430694580078
5,OOS Bochner (2LMP),3.653547859191895
6,Adaptive,3.6413869857788086
6,Bochner,3.580570936203003
6,OOS Bochner,2.9269275665283203
6,DFIV,3.621389389038086
6,Bochner (2LMP),3.968083095550537
6,OOS Bochner (2LMP),3.837776603698731
7,Adaptive,3.686869621276856
7,Bochner,3.2976677417755127
7,OOS Bochner,2.844390869140625
7,DFIV,3.57664155960083
7,Bochner (2LMP),3.510730028152466
7,OOS Bochner (2LMP),3.4261620092391975
8,Adaptive,3.966754913330078
8,Bochner,3.7317590713500977
8,OOS Bochner,2.9345741271972656
8,DFIV,3.771939039230346
8,Bochner (2LMP),3.487715005874634
8,OOS Bochner (2LMP),3.5814022350311273
9,Adaptive,3.614802837371826
9,Bochner,3.4086713790893555
9,OOS Bochner,2.759126901626587
9,DFIV,3.693085670471192
9,Bochner (2LMP),3.518373680114746
9,OOS Bochner (2LMP),3.6659921550750736
10,Adaptive,3.7763454914093018
10,Bochner,3.911931991577149
10,OOS Bochner,2.8775057792663574
10,DFIV,3.682891607284546
11,Adaptive,3.828002691268921
11,Bochner,3.208538293838501
11,OOS Bochner,2.8444766998291016
11,DFIV,3.7961106300354
12,Adaptive,3.6924352645874015
12,Bochner,3.5701231956481934
12,OOS Bochner,2.9836843013763428
12,DFIV,3.691381931304932
13,Adaptive,4.267387866973877
13,Bochner,3.82133150100708
13,OOS Bochner,2.7587108612060547
13,DFIV,3.75921630859375
14,Adaptive,3.983169078826904
14,Bochner,3.476473093032837
14,OOS Bochner,3.074676036834717
14,DFIV,3.7280683517456055
15,Adaptive,3.889560222625733
15,Bochner,3.720691680908203
15,OOS Bochner,3.1676294803619385
15,DFIV,3.640757560729981
16,Adaptive,3.760876893997192
16,Bochner,3.19365668296814
16,OOS Bochner,2.994508981704712
16,DFIV,3.762892484664917
17,Adaptive,3.702350854873657
17,Bochner,3.2591421604156494
17,OOS Bochner,2.9591526985168457
17,DFIV,3.7900657653808594
18,Adaptive,3.929651737213135
18,Bochner,3.564244508743286
18,OOS Bochner,3.043368101119995
18,DFIV,3.759186983108521
19,Adaptive,3.7878048419952393
19,Bochner,3.414833307266236
19,OOS Bochner,3.05570912361145
19,DFIV,3.644991636276245
